shipment_id,region,transport_mode,priority,month,shipment_volume_units,distance_km,delivery_time_days,transport_cost,on_time
S0001,East,Road,Express,8,99,505.0,4.1,55.0,1
S0002,West,Road,Standard,10,169,783.5,6.24,45.65,0
S0003,East,Road,Express,8,95,152.7,2.38,27.72,1
S0004,East,Road,Standard,8,92,206.2,3.92,48.27,1
S0005,South,Road,Standard,6,155,448.8,4.04,25.0,0
S0006,Central,Road,Express,3,58,358.5,3.03,25.0,1
S0007,East,Air,Standard,4,174,390.8,4.71,108.43,1
S0008,East,Road,Standard,9,106,555.0,5.19,35.17,1
S0009,South,Rail,Standard,1,136,451.6,5.76,55.28,1
S0010,West,Road,Standard,2,150,664.1,5.7,35.61,1
S0011,West,Road,Standard,5,188,653.3,5.81,,1
S0012,Central,Road,Standard,10,107,212.4,4.95,35.05,0
S0013,North,Road,Standard,8,65,90.9,1.94,37.14,1
S0014,East,Air,Standard,8,134,203.9,3.25,106.45,0
S0015,West,Road,Standard,7,125,195.7,4.15,41.59,1
S0016,South,Road,Standard,2,128,408.9,5.84,25.0,1
S0017,North,Road,Standard,4,74,405.7,5.34,45.3,1
S0018,South,Rail,Standard,1,140,345.3,3.46,52.98,1
S0019,East,Road,Standard,10,77,516.7,5.89,39.21,1
S0020,North,Road,Standard,10,113,1464.7,8.07,84.16,0
S0021,East,Rail,Standard,4,87,340.6,3.45,41.62,1
S0022,West,Rail,Standard,4,189,460.3,4.83,84.33,1
S0023,Central,Air,Standard,4,141,390.7,3.95,128.21,1
S0024,Central,Road,Standard,11,86,270.0,5.66,46.83,1
S0025,East,Road,Standard,6,97,558.1,5.49,31.06,1
S0026,South,Road,Standard,10,115,330.3,4.72,25.0,0
S0027,West,Air,Express,6,166,235.2,2.8,122.87,1
S0028,South,Road,Standard,9,116,246.4,5.03,40.55,1
S0029,South,Rail,Standard,7,113,678.4,5.71,51.18,1
S0030,East,Road,Standard,4,122,549.8,6.24,63.76,1
S0031,East,Road,Standard,11,80,288.9,4.75,25.0,1
S0032,Central,Road,Standard,9,84,511.6,5.54,36.25,1
S0033,West,Road,Standard,10,91,393.5,5.53,47.31,1
S0034,West,Air,Standard,12,155,465.1,3.96,95.36,1
S0035,West,Road,Standard,3,189,265.6,4.6,45.98,1
S0036,South,Road,Express,2,145,199.5,3.86,56.25,0
S0037,South,Road,Express,7,166,329.2,4.16,49.54,0
S0038,West,Road,Standard,4,111,221.4,4.22,55.28,1
S0039,South,Road,Standard,6,132,211.3,3.95,55.74,1
S0040,North,Road,Standard,3,84,158.2,4.89,33.35,1
S0041,West,Road,Standard,5,129,91.2,4.37,25.0,1
S0042,East,Road,Express,5,117,292.1,3.36,25.0,1
S0043,East,Road,Standard,5,98,754.8,5.7,60.56,1
S0044,West,Road,Express,9,95,645.7,4.15,25.08,1
S0045,East,Road,Express,8,58,981.7,4.69,46.64,1
S0046,East,Road,Standard,6,56,205.6,3.59,36.1,1
S0047,West,Road,Standard,2,149,579.9,5.57,71.64,0
S0048,West,Rail,Standard,7,193,363.0,4.58,55.77,0
S0049,East,Rail,Standard,3,133,246.6,3.62,45.78,1
S0050,South,Road,Standard,4,72,703.8,6.26,44.99,0
S0051,South,Road,Express,5,165,365.2,4.09,52.3,1
S0052,South,Road,Standard,2,151,121.5,4.64,37.52,1
S0053,East,Road,Standard,5,52,641.6,5.23,56.64,1
S0054,North,Road,Express,4,102,490.6,4.0,32.44,0
S0055,East,Road,Standard,11,126,423.3,4.97,46.25,1
S0056,East,Road,Standard,11,110,180.9,3.29,42.91,1
S0057,West,Air,Express,1,98,453.8,3.07,98.86,0
S0058,North,Road,Standard,8,127,902.2,6.56,68.55,1
S0059,South,Road,Standard,8,65,482.4,6.62,41.44,1
S0060,South,Road,Standard,5,119,144.4,4.94,47.79,1
S0061,North,Air,Express,6,142,504.8,3.29,113.0,0
S0062,West,Road,Standard,10,136,485.5,5.31,52.51,1
S0063,North,Road,Standard,5,96,608.5,5.54,37.1,0
S0064,East,Road,Standard,1,120,477.3,4.42,36.44,1
S0065,North,Road,Standard,5,137,211.7,3.13,57.57,1
S0066,North,Air,Express,4,147,409.4,2.34,117.9,1
S0067,North,Road,Standard,5,134,332.7,4.61,28.84,0
S0068,West,Road,Express,3,165,439.6,2.67,51.8,0
